input_text,input_tokens,generated_continuation_text,generated_continuation_tokens,true_continuation_text,true_continuation_tokens,matching_tokens,perfect_match
"ated herself in a game of croquet she was playing against herself,
for this curious child was very fond of pretending to be two people.
“But it’s no use now,” thought poor Alice, “to pretend to be two
people! Why,","[660, 11937, 304, 264, 1847, 315, 14425, 24181, 1364, 574, 5737, 2403, 11937, 345, 2000, 420, 22999, 1716, 574, 1633, 21901, 315, 55906, 311, 387, 1403, 1274, 627, 61603, 433, 753, 912, 1005, 1457, 2476, 3463, 8009, 30505, 11, 1054, 998, 35840, 311, 387, 1403, 198, 16455, 0, 8595, 11]"," there’s hardly enough of me left to make one respectable
person!”
Soon her head struck against the roof of the hall: in fact she was now
more than nine feet high, and she at once took up the little golden key
and","[1070, 753, 20781, 3403, 315, 757, 2163, 311, 1304, 832, 62486, 198, 9164, 18319, 198, 67196, 1077, 2010, 17948, 2403, 279, 15485, 315, 279, 14321, 25, 304, 2144, 1364, 574, 1457, 198, 6518, 1109, 11888, 7693, 1579, 11, 323, 1364, 520, 3131, 3952, 709, 279, 2697, 21411, 1401, 198, 438]"," there’s hardly enough of me left to make _one_ respectable
person!”

Soon her eye fell on a little glass box that was lying under the table:
she opened it, and found in it a very small cake, on which the words
","[1070, 753, 20781, 3403, 315, 757, 2163, 311, 1304, 721, 606, 62, 62486, 198, 9164, 25758, 67196, 1077, 8071, 11299, 389, 264, 2697, 9168, 3830, 430, 574, 21078, 1234, 279, 2007, 512, 32158, 9107, 433, 11, 323, 1766, 304, 433, 264, 1633, 2678, 19692, 11, 389, 902, 279, 4339, 198]",9,False
" there’s hardly enough of me left to make _one_ respectable
person!”

Soon her eye fell on a little glass box that was lying under the table:
she opened it, and found in it a very small cake, on which the words
","[1070, 753, 20781, 3403, 315, 757, 2163, 311, 1304, 721, 606, 62, 62486, 198, 9164, 25758, 67196, 1077, 8071, 11299, 389, 264, 2697, 9168, 3830, 430, 574, 21078, 1234, 279, 2007, 512, 32158, 9107, 433, 11, 323, 1766, 304, 433, 264, 1633, 2678, 19692, 11, 389, 902, 279, 4339, 198]","“EAT ME” were beautifully marked in currants. “Well, I’ll eat it,” said
Alice, “and if it makes me grow larger, I can reach the key; and if it
makes me grow smaller, I can","[2118, 36, 835, 16691, 863, 1051, 32719, 13160, 304, 10004, 1821, 13, 1054, 11649, 11, 358, 4805, 8343, 433, 2476, 1071, 198, 62786, 11, 1054, 438, 422, 433, 3727, 757, 3139, 8294, 11, 358, 649, 5662, 279, 1401, 26, 323, 422, 433, 198, 80785, 757, 3139, 9333, 11, 358, 649]","“EAT ME” were beautifully marked in currants. “Well, I’ll eat it,” said
Alice, “and if it makes me grow larger, I can reach the key; and if it
makes me grow smaller, I can","[2118, 36, 835, 16691, 863, 1051, 32719, 13160, 304, 10004, 1821, 13, 1054, 11649, 11, 358, 4805, 8343, 433, 2476, 1071, 198, 62786, 11, 1054, 438, 422, 433, 3727, 757, 3139, 8294, 11, 358, 649, 5662, 279, 1401, 26, 323, 422, 433, 198, 80785, 757, 3139, 9333, 11, 358, 649]",50,True
"“EAT ME” were beautifully marked in currants. “Well, I’ll eat it,” said
Alice, “and if it makes me grow larger, I can reach the key; and if it
makes me grow smaller, I can","[2118, 36, 835, 16691, 863, 1051, 32719, 13160, 304, 10004, 1821, 13, 1054, 11649, 11, 358, 4805, 8343, 433, 2476, 1071, 198, 62786, 11, 1054, 438, 422, 433, 3727, 757, 3139, 8294, 11, 358, 649, 5662, 279, 1401, 26, 323, 422, 433, 198, 80785, 757, 3139, 9333, 11, 358, 649]"," creep under the door; so either way I’ll get
into the garden, and I don’t care which happens!”
She ate a little bit, and said anxiously to herself, “Whether I get
bigger, or whether I get","[28182, 1234, 279, 6134, 26, 779, 3060, 1648, 358, 4805, 636, 198, 18614, 279, 13863, 11, 323, 358, 1541, 1431, 2512, 902, 8741, 18319, 198, 8100, 30912, 264, 2697, 2766, 11, 323, 1071, 74884, 13610, 311, 11937, 11, 1054, 25729, 358, 636, 198, 65, 4601, 11, 477, 3508, 358, 636]"," creep under the door; so either way I’ll
get into the garden, and I don’t care which happens!”

She ate a little bit, and said anxiously to herself, “Which way? Which
way?”, holding her hand on","[28182, 1234, 279, 6134, 26, 779, 3060, 1648, 358, 4805, 198, 456, 1139, 279, 13863, 11, 323, 358, 1541, 1431, 2512, 902, 8741, 25758, 8100, 30912, 264, 2697, 2766, 11, 323, 1071, 74884, 13610, 311, 11937, 11, 1054, 23956, 1648, 30, 16299, 198, 3195, 30, 9520, 10168, 1077, 1450, 389]",21,False
" creep under the door; so either way I’ll
get into the garden, and I don’t care which happens!”

She ate a little bit, and said anxiously to herself, “Which way? Which
way?”, holding her hand on","[28182, 1234, 279, 6134, 26, 779, 3060, 1648, 358, 4805, 198, 456, 1139, 279, 13863, 11, 323, 358, 1541, 1431, 2512, 902, 8741, 25758, 8100, 30912, 264, 2697, 2766, 11, 323, 1071, 74884, 13610, 311, 11937, 11, 1054, 23956, 1648, 30, 16299, 198, 3195, 30, 9520, 10168, 1077, 1450, 389]"," the top of her head to feel which way it
bent. She was now quite certain that it was all her fancy, that she had
but dreamed the whole thing, but still she wanted to get into the
garden, and,","[279, 1948, 315, 1077, 2010, 311, 2733, 902, 1648, 433, 198, 65, 306, 13, 3005, 574, 1457, 5115, 3738, 430, 433, 574, 682, 1077, 27555, 11, 430, 1364, 1047, 198, 8248, 57636, 279, 4459, 3245, 11, 719, 2103, 1364, 4934, 311, 636, 1139, 279, 198, 70, 8506, 11, 323, 11]"," the top of her head to feel which way it was
growing, and she was quite surprised to find that she remained the same
size: to be sure, this generally happens when one eats cake, but Alice
had got so much into","[279, 1948, 315, 1077, 2010, 311, 2733, 902, 1648, 433, 574, 198, 70, 25156, 11, 323, 1364, 574, 5115, 14792, 311, 1505, 430, 1364, 14958, 279, 1890, 198, 2190, 25, 311, 387, 2771, 11, 420, 8965, 8741, 994, 832, 50777, 19692, 11, 719, 30505, 198, 32345, 2751, 779, 1790, 1139]",11,False
" the top of her head to feel which way it was
growing, and she was quite surprised to find that she remained the same
size: to be sure, this generally happens when one eats cake, but Alice
had got so much into","[279, 1948, 315, 1077, 2010, 311, 2733, 902, 1648, 433, 574, 198, 70, 25156, 11, 323, 1364, 574, 5115, 14792, 311, 1505, 430, 1364, 14958, 279, 1890, 198, 2190, 25, 311, 387, 2771, 11, 420, 8965, 8741, 994, 832, 50777, 19692, 11, 719, 30505, 198, 32345, 2751, 779, 1790, 1139]"," the way of expecting nothing but out-of-the-way
things to happen, when she was in a Wonderland, that she was never
surprised by any thing; but she did wonder a little at this, as it
would be late in","[279, 1648, 315, 23132, 4400, 719, 704, 8838, 10826, 27896, 198, 58174, 311, 3621, 11, 994, 1364, 574, 304, 264, 90024, 11, 430, 1364, 574, 2646, 198, 20370, 652, 4147, 555, 904, 3245, 26, 719, 1364, 1550, 5895, 264, 2697, 520, 420, 11, 439, 433, 198, 41450, 387, 3389, 304]"," the way of expecting nothing but out-of-the-way
things to happen, that it seemed quite dull and stupid for life to go
on in the common way.

So she set to work, and very soon finished off the cake.

*      *","[279, 1648, 315, 23132, 4400, 719, 704, 8838, 10826, 27896, 198, 58174, 311, 3621, 11, 430, 433, 9508, 5115, 41630, 323, 18754, 369, 2324, 311, 733, 198, 263, 304, 279, 4279, 1648, 382, 4516, 1364, 743, 311, 990, 11, 323, 1633, 5246, 8220, 1022, 279, 19692, 382, 9, 415, 353]",16,False
" the way of expecting nothing but out-of-the-way
things to happen, that it seemed quite dull and stupid for life to go
on in the common way.

So she set to work, and very soon finished off the cake.

*      *","[279, 1648, 315, 23132, 4400, 719, 704, 8838, 10826, 27896, 198, 58174, 311, 3621, 11, 430, 433, 9508, 5115, 41630, 323, 18754, 369, 2324, 311, 733, 198, 263, 304, 279, 4279, 1648, 382, 4516, 1364, 743, 311, 990, 11, 323, 1633, 5246, 8220, 1022, 279, 19692, 382, 9, 415, 353]","      *      *      *

The next day was a Sunday, and they began the day by going to church.
Everybody was there: even the soldiers. Alice thought it would be all
the better for the ending of every sentence in her evidence if","[415, 353, 415, 353, 415, 20386, 791, 1828, 1938, 574, 264, 7418, 11, 323, 814, 6137, 279, 1938, 555, 2133, 311, 8993, 627, 64952, 574, 1070, 25, 1524, 279, 15201, 13, 30505, 3463, 433, 1053, 387, 682, 198, 1820, 2731, 369, 279, 13696, 315, 1475, 11914, 304, 1077, 6029, 422]","      *      *      *      *      *

    *      *      *      *      *      *

*      *      *      *      *      *      *




CHAPTER II.
The Pool of Tears


“Curiouser and curious","[415, 353, 415, 353, 415, 353, 415, 353, 415, 20386, 262, 353, 415, 353, 415, 353, 415, 353, 415, 353, 415, 20386, 9, 415, 353, 415, 353, 415, 353, 415, 353, 415, 353, 415, 353, 14963, 88539, 8105, 627, 791, 23563, 315, 92014, 1432, 2118, 17119, 1245, 261, 323, 22999]",5,False
"      *      *      *      *      *

    *      *      *      *      *      *

*      *      *      *      *      *      *




CHAPTER II.
The Pool of Tears


“Curiouser and curious","[415, 353, 415, 353, 415, 353, 415, 353, 415, 20386, 262, 353, 415, 353, 415, 353, 415, 353, 415, 353, 415, 20386, 9, 415, 353, 415, 353, 415, 353, 415, 353, 415, 353, 415, 353, 14963, 88539, 8105, 627, 791, 23563, 315, 92014, 1432, 2118, 17119, 1245, 261, 323, 22999]","er!” cried Alice (she was so much surprised, that for the moment she quite forgot how to speak good English); “now I’m opening out like the largest telescope that ever was! Good-bye, feet!” (for when she looked down","[261, 18319, 39169, 30505, 320, 32158, 574, 779, 1790, 14792, 11, 430, 369, 279, 4545, 1364, 5115, 29695, 1268, 311, 6604, 1695, 6498, 1237, 1054, 3409, 358, 4344, 8736, 704, 1093, 279, 7928, 56925, 430, 3596, 574, 0, 7839, 1481, 9188, 11, 7693, 18319, 320, 2000, 994, 1364, 7111, 1523]","er!” cried Alice (she was so much surprised, that
for the moment she quite forgot how to speak good English); “now I’m
opening out like the largest telescope that ever was! Good-bye, feet!”
(for when she","[261, 18319, 39169, 30505, 320, 32158, 574, 779, 1790, 14792, 11, 430, 198, 2000, 279, 4545, 1364, 5115, 29695, 1268, 311, 6604, 1695, 6498, 1237, 1054, 3409, 358, 4344, 198, 68785, 704, 1093, 279, 7928, 56925, 430, 3596, 574, 0, 7839, 1481, 9188, 11, 7693, 18319, 198, 19793, 994, 1364]",12,False
"er!” cried Alice (she was so much surprised, that
for the moment she quite forgot how to speak good English); “now I’m
opening out like the largest telescope that ever was! Good-bye, feet!”
(for when she","[261, 18319, 39169, 30505, 320, 32158, 574, 779, 1790, 14792, 11, 430, 198, 2000, 279, 4545, 1364, 5115, 29695, 1268, 311, 6604, 1695, 6498, 1237, 1054, 3409, 358, 4344, 198, 68785, 704, 1093, 279, 7928, 56925, 430, 3596, 574, 0, 7839, 1481, 9188, 11, 7693, 18319, 198, 19793, 994, 1364]"," looked down at her feet, they seemed to be almost out of
sight, they were getting so far off). “Oh, my poor little feet, I wonder
who will put on your shoes and stockings for you now, dears?","[7111, 1523, 520, 1077, 7693, 11, 814, 9508, 311, 387, 4661, 704, 315, 198, 82, 492, 11, 814, 1051, 3794, 779, 3117, 1022, 570, 1054, 12174, 11, 856, 8009, 2697, 7693, 11, 358, 5895, 198, 14965, 690, 2231, 389, 701, 15653, 323, 76705, 369, 499, 1457, 11, 409, 1590, 30]"," looked down at her feet, they seemed to be almost out of
sight, they were getting so far off). “Oh, my poor little feet, I
wonder who will put on your shoes and stockings for you now, dears","[7111, 1523, 520, 1077, 7693, 11, 814, 9508, 311, 387, 4661, 704, 315, 198, 82, 492, 11, 814, 1051, 3794, 779, 3117, 1022, 570, 1054, 12174, 11, 856, 8009, 2697, 7693, 11, 358, 198, 86, 14518, 889, 690, 2231, 389, 701, 15653, 323, 76705, 369, 499, 1457, 11, 409, 1590]",33,False
" looked down at her feet, they seemed to be almost out of
sight, they were getting so far off). “Oh, my poor little feet, I
wonder who will put on your shoes and stockings for you now, dears","[7111, 1523, 520, 1077, 7693, 11, 814, 9508, 311, 387, 4661, 704, 315, 198, 82, 492, 11, 814, 1051, 3794, 779, 3117, 1022, 570, 1054, 12174, 11, 856, 8009, 2697, 7693, 11, 358, 198, 86, 14518, 889, 690, 2231, 389, 701, 15653, 323, 76705, 369, 499, 1457, 11, 409, 1590]",",
if I am to be taken away from you?”
Then she looked up, and there was the White Rabbit
coming back again, and he brought another little girl with him.
“I always thought there was something magical in
the air,” said","[345, 333, 358, 1097, 311, 387, 4529, 3201, 505, 499, 12671, 198, 12487, 1364, 7111, 709, 11, 323, 1070, 574, 279, 5929, 49431, 198, 5065, 1203, 1578, 11, 323, 568, 7263, 2500, 2697, 3828, 449, 1461, 627, 10378, 2744, 3463, 1070, 574, 2555, 24632, 304, 198, 1820, 3805, 2476, 1071]","? I’m
sure _I_ shan’t be able! I shall be a great deal too far off to trouble
myself about you: you must manage the best way you can;—but I must be
kind to them,”","[30, 358, 4344, 198, 19643, 721, 40, 62, 559, 276, 1431, 387, 3025, 0, 358, 4985, 387, 264, 2294, 3568, 2288, 3117, 1022, 311, 12544, 198, 2465, 726, 922, 499, 25, 499, 2011, 10299, 279, 1888, 1648, 499, 649, 26, 2345, 8248, 358, 2011, 387, 198, 15674, 311, 1124, 2476]",1,False
"? I’m
sure _I_ shan’t be able! I shall be a great deal too far off to trouble
myself about you: you must manage the best way you can;—but I must be
kind to them,”","[30, 358, 4344, 198, 19643, 721, 40, 62, 559, 276, 1431, 387, 3025, 0, 358, 4985, 387, 264, 2294, 3568, 2288, 3117, 1022, 311, 12544, 198, 2465, 726, 922, 499, 25, 499, 2011, 10299, 279, 1888, 1648, 499, 649, 26, 2345, 8248, 358, 2011, 387, 198, 15674, 311, 1124, 2476]"," said she, “and _I_ will be kind to them. I’ll write to
them, and I’ll go to them; and I’ll make them live at _my_ house, and
you shall live with me, and I","[1071, 1364, 11, 1054, 438, 721, 40, 62, 690, 387, 3169, 311, 1124, 13, 358, 4805, 3350, 311, 198, 49818, 11, 323, 358, 4805, 733, 311, 1124, 26, 323, 358, 4805, 1304, 1124, 3974, 520, 721, 2465, 62, 3838, 11, 323, 198, 9514, 4985, 3974, 449, 757, 11, 323, 358]"," thought Alice, “or perhaps they won’t walk the way I
want to go! Let me see: I’ll give them a new pair of boots every
Christmas.”

And she went on planning to herself how she would manage it. “They","[3463, 30505, 11, 1054, 269, 8530, 814, 2834, 1431, 4321, 279, 1648, 358, 198, 53757, 311, 733, 0, 6914, 757, 1518, 25, 358, 4805, 3041, 1124, 264, 502, 6857, 315, 26302, 1475, 198, 59703, 2950, 3112, 1364, 4024, 389, 9293, 311, 11937, 1268, 1364, 1053, 10299, 433, 13, 1054, 7009]",4,False
" thought Alice, “or perhaps they won’t walk the way I
want to go! Let me see: I’ll give them a new pair of boots every
Christmas.”

And she went on planning to herself how she would manage it. “They","[3463, 30505, 11, 1054, 269, 8530, 814, 2834, 1431, 4321, 279, 1648, 358, 198, 53757, 311, 733, 0, 6914, 757, 1518, 25, 358, 4805, 3041, 1124, 264, 502, 6857, 315, 26302, 1475, 198, 59703, 2950, 3112, 1364, 4024, 389, 9293, 311, 11937, 1268, 1364, 1053, 10299, 433, 13, 1054, 7009]","
would have no need to turn into Mice, since Mice have no boots to
wear, and that would save her trouble and annoyance. So, after
thinking it all over, she came to the conclusion that it would do
very","[198, 41450, 617, 912, 1205, 311, 2543, 1139, 386, 560, 11, 2533, 386, 560, 617, 912, 26302, 311, 198, 23581, 11, 323, 430, 1053, 3665, 1077, 12544, 323, 91904, 13, 2100, 11, 1306, 198, 83360, 433, 682, 927, 11, 1364, 3782, 311, 279, 17102, 430, 433, 1053, 656, 198, 1225]"," must
go by the carrier,” she thought; “and how funny it’ll seem, sending
presents to one’s own feet! And how odd the directions will look!

     _Alice’s Right Foot, Esq., Hearthrug, near","[2011, 198, 3427, 555, 279, 19115, 2476, 1364, 3463, 26, 1054, 438, 1268, 15526, 433, 4805, 2873, 11, 11889, 198, 79, 9773, 311, 832, 753, 1866, 7693, 0, 1628, 1268, 10535, 279, 18445, 690, 1427, 2268, 257, 721, 62786, 753, 10291, 15819, 11, 9419, 80, 2637, 85993, 73047, 11, 3221]",0,False
" must
go by the carrier,” she thought; “and how funny it’ll seem, sending
presents to one’s own feet! And how odd the directions will look!

     _Alice’s Right Foot, Esq., Hearthrug, near","[2011, 198, 3427, 555, 279, 19115, 2476, 1364, 3463, 26, 1054, 438, 1268, 15526, 433, 4805, 2873, 11, 11889, 198, 79, 9773, 311, 832, 753, 1866, 7693, 0, 1628, 1268, 10535, 279, 18445, 690, 1427, 2268, 257, 721, 62786, 753, 10291, 15819, 11, 9419, 80, 2637, 85993, 73047, 11, 3221]"," the Fireplace_.

     _Alice’s Left Foot, Esq., Lleading from the Lobby up the
     Chief Staircase_.

     _Alice’s Boot, Grant’s First Floor, Facing North_.

     _Alice’s Other Boot","[279, 84828, 62, 382, 257, 721, 62786, 753, 14043, 15819, 11, 9419, 80, 2637, 445, 21307, 505, 279, 64066, 709, 279, 198, 257, 14681, 800, 1334, 5756, 62, 382, 257, 721, 62786, 753, 15354, 11, 24668, 753, 5629, 16990, 11, 96418, 4892, 62, 382, 257, 721, 62786, 753, 7089, 15354]"," the Fender,_ (_with
     Alice’s love_).

Oh dear, what nonsense I’m talking!”

Just then her head struck against the roof of the hall: in fact she was
now more than nine feet high, and she at once","[279, 435, 1693, 21025, 5570, 4291, 198, 257, 30505, 753, 3021, 62, 3677, 12174, 25237, 11, 1148, 41902, 358, 4344, 7556, 25758, 10156, 1243, 1077, 2010, 17948, 2403, 279, 15485, 315, 279, 14321, 25, 304, 2144, 1364, 574, 198, 3409, 810, 1109, 11888, 7693, 1579, 11, 323, 1364, 520, 3131]",1,False
" the Fender,_ (_with
     Alice’s love_).

Oh dear, what nonsense I’m talking!”

Just then her head struck against the roof of the hall: in fact she was
now more than nine feet high, and she at once","[279, 435, 1693, 21025, 5570, 4291, 198, 257, 30505, 753, 3021, 62, 3677, 12174, 25237, 11, 1148, 41902, 358, 4344, 7556, 25758, 10156, 1243, 1077, 2010, 17948, 2403, 279, 15485, 315, 279, 14321, 25, 304, 2144, 1364, 574, 198, 3409, 810, 1109, 11888, 7693, 1579, 11, 323, 1364, 520, 3131]"," took up the little golden
key and hurried off to the garden door.

Just then she heard her father’s voice outside. “And the moral of that
story,” said the King, “is – that one should never take more than six
","[3952, 709, 279, 2697, 21411, 198, 798, 323, 73973, 1022, 311, 279, 13863, 6134, 382, 10156, 1243, 1364, 6755, 1077, 7126, 753, 7899, 4994, 13, 1054, 3112, 279, 16033, 315, 430, 198, 27583, 2476, 1071, 279, 6342, 11, 1054, 285, 1389, 430, 832, 1288, 2646, 1935, 810, 1109, 4848, 198]"," took up the little golden
key and hurried off to the garden door.

Poor Alice! It was as much as she could do, lying down on one side, to
look through into the garden with one eye; but to get through was more","[3952, 709, 279, 2697, 21411, 198, 798, 323, 73973, 1022, 311, 279, 13863, 6134, 382, 85203, 30505, 0, 1102, 574, 439, 1790, 439, 1364, 1436, 656, 11, 21078, 1523, 389, 832, 3185, 11, 311, 198, 7349, 1555, 1139, 279, 13863, 449, 832, 8071, 26, 719, 311, 636, 1555, 574, 810]",15,False
" took up the little golden
key and hurried off to the garden door.

Poor Alice! It was as much as she could do, lying down on one side, to
look through into the garden with one eye; but to get through was more","[3952, 709, 279, 2697, 21411, 198, 798, 323, 73973, 1022, 311, 279, 13863, 6134, 382, 85203, 30505, 0, 1102, 574, 439, 1790, 439, 1364, 1436, 656, 11, 21078, 1523, 389, 832, 3185, 11, 311, 198, 7349, 1555, 1139, 279, 13863, 449, 832, 8071, 26, 719, 311, 636, 1555, 574, 810]","
than _she_ could do.

It was so long since she had been really _small_ that she quite forgot
how to do it; and she lay on the bed, in a sort of a fit.

Her head struck against the ceiling","[198, 54895, 721, 32158, 62, 1436, 656, 382, 2181, 574, 779, 1317, 2533, 1364, 1047, 1027, 2216, 721, 9181, 62, 430, 1364, 5115, 29695, 198, 5269, 311, 656, 433, 26, 323, 1364, 11203, 389, 279, 4950, 11, 304, 264, 3460, 315, 264, 5052, 382, 21364, 2010, 17948, 2403, 279, 22959]","
hopeless than ever: she sat down and began to cry again.

“You ought to be ashamed of yourself,” said Alice, “a great girl like
you,” (she might well say this), “to go on crying in this way!","[198, 61893, 1752, 1109, 3596, 25, 1364, 7731, 1523, 323, 6137, 311, 16106, 1578, 382, 33672, 22525, 311, 387, 51975, 315, 6261, 2476, 1071, 30505, 11, 1054, 64, 2294, 3828, 1093, 198, 9514, 2476, 320, 32158, 2643, 1664, 2019, 420, 705, 1054, 998, 733, 389, 31299, 304, 420, 1648, 0]",1,False
"
hopeless than ever: she sat down and began to cry again.

“You ought to be ashamed of yourself,” said Alice, “a great girl like
you,” (she might well say this), “to go on crying in this way!","[198, 61893, 1752, 1109, 3596, 25, 1364, 7731, 1523, 323, 6137, 311, 16106, 1578, 382, 33672, 22525, 311, 387, 51975, 315, 6261, 2476, 1071, 30505, 11, 1054, 64, 2294, 3828, 1093, 198, 9514, 2476, 320, 32158, 2643, 1664, 2019, 420, 705, 1054, 998, 733, 389, 31299, 304, 420, 1648, 0]"," Stop
this moment, I tell you!” But she went on all the same, shedding
glasses of tears, until there was a large pool all round her, about
the size of a teacup.

Then she took me quite suddenly","[14549, 198, 576, 4545, 11, 358, 3371, 499, 18319, 2030, 1364, 4024, 389, 682, 279, 1890, 11, 80417, 198, 70, 34968, 315, 24014, 11, 3156, 1070, 574, 264, 3544, 7463, 682, 4883, 1077, 11, 922, 198, 1820, 1404, 315, 264, 1028, 582, 455, 382, 12487, 1364, 3952, 757, 5115, 15187]"," Stop
this moment, I tell you!” But she went on all the same, shedding
gallons of tears, until there was a large pool all round her, about
four inches deep and reaching half down the hall.

After a time","[14549, 198, 576, 4545, 11, 358, 3371, 499, 18319, 2030, 1364, 4024, 389, 682, 279, 1890, 11, 80417, 198, 70, 543, 2439, 315, 24014, 11, 3156, 1070, 574, 264, 3544, 7463, 682, 4883, 1077, 11, 922, 198, 35124, 15271, 5655, 323, 19261, 4376, 1523, 279, 14321, 382, 6153, 264, 892]",20,False
" Stop
this moment, I tell you!” But she went on all the same, shedding
gallons of tears, until there was a large pool all round her, about
four inches deep and reaching half down the hall.

After a time","[14549, 198, 576, 4545, 11, 358, 3371, 499, 18319, 2030, 1364, 4024, 389, 682, 279, 1890, 11, 80417, 198, 70, 543, 2439, 315, 24014, 11, 3156, 1070, 574, 264, 3544, 7463, 682, 4883, 1077, 11, 922, 198, 35124, 15271, 5655, 323, 19261, 4376, 1523, 279, 14321, 382, 6153, 264, 892]",", Alice felt her eye-winkles becoming so very
watered by all this crying, that she had to take her handkerchief out
of her pocket and use it; and by the time she had done watering her
eyes made another","[11, 30505, 6612, 1077, 8071, 2695, 771, 645, 10671, 779, 1633, 198, 13284, 291, 555, 682, 420, 31299, 11, 430, 1364, 1047, 311, 1935, 1077, 1450, 7197, 62626, 704, 198, 1073, 1077, 18301, 323, 1005, 433, 26, 323, 555, 279, 892, 1364, 1047, 2884, 73841, 1077, 198, 58331, 1903, 2500]"," she heard a little pattering of feet in the distance, and
she hastily dried her eyes to see what was coming. It was the White
Rabbit returning, splendidly dressed, with a pair of white kid gloves
in one hand and","[1364, 6755, 264, 2697, 281, 31436, 315, 7693, 304, 279, 6138, 11, 323, 198, 32158, 94532, 32720, 1077, 6548, 311, 1518, 1148, 574, 5108, 13, 1102, 574, 279, 5929, 198, 49, 20544, 13758, 11, 70960, 398, 26435, 11, 449, 264, 6857, 315, 4251, 10585, 36516, 198, 258, 832, 1450, 323]",1,False
" she heard a little pattering of feet in the distance, and
she hastily dried her eyes to see what was coming. It was the White
Rabbit returning, splendidly dressed, with a pair of white kid gloves
in one hand and","[1364, 6755, 264, 2697, 281, 31436, 315, 7693, 304, 279, 6138, 11, 323, 198, 32158, 94532, 32720, 1077, 6548, 311, 1518, 1148, 574, 5108, 13, 1102, 574, 279, 5929, 198, 49, 20544, 13758, 11, 70960, 398, 26435, 11, 449, 264, 6857, 315, 4251, 10585, 36516, 198, 258, 832, 1450, 323]"," a large fan in the other: she gave one look at the
Cat and ran off without a word, but came back with a cry of alarm:
""Her purr goes on, I tell you! I fancy it _can't_ last","[264, 3544, 8571, 304, 279, 1023, 25, 1364, 6688, 832, 1427, 520, 279, 198, 27899, 323, 10837, 1022, 2085, 264, 3492, 11, 719, 3782, 1203, 449, 264, 16106, 315, 17035, 512, 1, 21364, 4087, 81, 5900, 389, 11, 358, 3371, 499, 0, 358, 27555, 433, 721, 4919, 956, 62, 1566]"," a large fan in the other: he came trotting along in a
great hurry, muttering to himself as he came, “Oh! the Duchess, the
Duchess! Oh! won’t she be savage if I’ve kept her","[264, 3544, 8571, 304, 279, 1023, 25, 568, 3782, 57677, 1303, 3235, 304, 264, 198, 47991, 48335, 11, 5318, 60485, 311, 5678, 439, 568, 3782, 11, 1054, 12174, 0, 279, 96039, 11, 279, 198, 35, 1412, 434, 0, 8840, 0, 2834, 1431, 1364, 387, 73135, 422, 358, 4070, 8774, 1077]",7,False
" a large fan in the other: he came trotting along in a
great hurry, muttering to himself as he came, “Oh! the Duchess, the
Duchess! Oh! won’t she be savage if I’ve kept her","[264, 3544, 8571, 304, 279, 1023, 25, 568, 3782, 57677, 1303, 3235, 304, 264, 198, 47991, 48335, 11, 5318, 60485, 311, 5678, 439, 568, 3782, 11, 1054, 12174, 0, 279, 96039, 11, 279, 198, 35, 1412, 434, 0, 8840, 0, 2834, 1431, 1364, 387, 73135, 422, 358, 4070, 8774, 1077]"," waiting!”
Alice watched the White Rabbit as he hurried by to
see the Duchess, and she was just in time to hear him say, as he
turned a corner, “Oh, my ears and whiskers, how late it’s getting","[8748, 18319, 198, 62786, 15746, 279, 5929, 49431, 439, 568, 73973, 555, 311, 198, 4151, 279, 96039, 11, 323, 1364, 574, 1120, 304, 892, 311, 6865, 1461, 2019, 11, 439, 568, 198, 42286, 264, 9309, 11, 1054, 12174, 11, 856, 25212, 323, 41759, 388, 11, 1268, 3389, 433, 753, 3794]"," waiting!” Alice felt
so desperate that she was ready to ask help of any one; so, when the
Rabbit came near her, she began, in a low, timid voice, “If you please,
sir—” The Rabbit","[8748, 18319, 30505, 6612, 198, 708, 28495, 430, 1364, 574, 5644, 311, 2610, 1520, 315, 904, 832, 26, 779, 11, 994, 279, 198, 49, 20544, 3782, 3221, 1077, 11, 1364, 6137, 11, 304, 264, 3428, 11, 99149, 7899, 11, 1054, 2746, 499, 4587, 345, 82, 404, 2345, 863, 578, 49431]",6,False
